t_name,gene_name,male_10,male_11,male_12,male_13,male_14A,male_14B,male_14C,male_14D,female_10,female_11,female_12,female_13,female_14A,female_14B,female_14C,female_14D,median,stage_p,stage_logP,stage_cor_p
FBtr0333411,Rsf1,2.899298621758708,3.7652666559871677,3.381908082020505,3.461130637177491,4.012128825815232,4.611199415565184,4.5690323995157565,4.807237183033065,3.1448172873697855,3.3362011090485835,3.0592301440090535,3.6246693191461192,3.9892980766222648,4.567416577680356,4.544594313760006,4.508308465197205,3.8816266428587896,4.0432482482083646e-05,4.393269592943543,0.0005308612372228452
FBtr0080079,Rsf1,3.8352828013104485,4.705466676976387,4.320549735020891,4.4001293130560315,4.953133816456889,5.553668579224882,5.51141721386879,5.75006756401659,4.082264878194469,4.274627544948007,3.996195831844756,4.564345545971088,4.930234151315184,5.50979811892651,5.486929088245153,5.450567575799751,4.822223254922081,4.024580109337228e-05,4.395279423547111,0.0005300261235737239
FBtr0079984,CG4953,5.3832186358721525,4.397202489625649,4.849410605854919,5.243417859264382,3.2130531130576183,1.4329545982846217,2.7458751614040238,2.459638564955277,4.376767405271652,4.683210066211277,5.141323284846459,5.261834290855992,4.255542955908944,3.5563327829152875,2.7125838954961368,3.130497996379918,4.317428062729988,0.005154983412194702,2.2877727278593976,0.01932950462744143
FBtr0080078,trk,2.3806496659266334,0.7775867796601196,0.4304008980766634,-0.3056279035648365,-0.24564607306097377,0.09855295978847535,-0.10954552476500536,0.16758786703797868,2.3325899356922664,1.1420153755881508,0.4793506083097133,-0.8027560950179746,-0.6786352432273571,0.9076813604544032,0.2809812490854094,-0.6334590023399156,0.2253983373407441,0.00017752630765281886,3.75073727966887,0.0015184052510563344
FBtr0080074,CG5604,7.167671656510857,6.3572258131028265,7.151379651382655,7.150549715365351,4.997362011250436,-3.321928094887362,-3.321928094887362,-3.321928094887362,6.688202085589714,6.305400532920459,7.224788003693943,-3.321928094887362,6.756181072944549,-3.321928094887362,-3.321928094887362,4.223574534639977,5.794809473439148,0.009186327338145435,2.036858083344677,0.030314880215879934
FBtr0079987,CG4968,7.055789589248821,6.3023394152536065,7.232526850442604,7.165994871423585,7.544837191904806,7.655566384919884,7.476610323003084,6.80626179535097,6.978227359927167,6.919884983084263,7.1141607056419955,7.658085455692952,7.666121971802029,7.465357351926887,7.42011900456362,7.199213219965851,7.215966189735218,0.010432155973064608,1.98162592834769,0.03346975784167024
FBtr0331669,CG5384,6.723033768988118,5.779386462867104,5.609698561478885,4.880937460695623,4.896396347339167,3.9885110985322796,4.59502522895462,4.627743805950515,6.356483169952886,5.886024867795037,6.412190864658905,5.98990632521584,4.6700182208862655,3.0384159879985084,4.453141876479449,4.2308741624205,4.888687609712831,4.523263073878913e-05,4.34454815286619,0.0005737682600194268
FBtr0080061,CG5384,6.792696006951589,5.929211034193072,5.679285653336034,4.950432906244659,4.9658944331088755,4.244775961240507,5.026341643191192,4.697194835348046,6.627512639674351,5.955636099432418,6.515493904491543,6.059525717917388,4.739477230574692,3.107313925180384,4.522557427944492,4.300238110372047,4.99643459829163,4.4212613811398223e-05,4.354453809221894,0.0005670881815679463
FBtr0080059,RnrL,7.705240418667942,7.15095839343069,7.328426843224988,7.030517717163132,5.606135030492112,-3.321928094887362,4.175534261605397,-3.321928094887362,7.828844294476553,7.5825391358475,7.487065552848599,6.89109134721811,5.4369664665187685,4.790415489685531,4.367080749981596,4.362448707559119,6.387178573080797,0.013891573597886082,1.8572485558340102,0.04179117128836634
FBtr0080000,CG5045,-3.321928094887362,4.767264889525172,4.673256208168524,4.871350298452665,5.166340182995469,5.523323891734419,6.661879317979794,5.807887410108607,4.554232124251108,4.756852716704846,4.536399789379203,4.984312723752009,4.9145975290705755,5.436329837394671,5.782645683195176,5.700762096717231,4.949876190411908,0.009343990122106106,2.029467629340952,0.03068234346995802
FBtr0332189,CG5045,-3.321928094887362,4.167888322556148,4.402280474856529,4.600224014307436,4.895024817619682,5.25182598439663,3.4426423225534273,5.536272894459812,4.28335724817178,4.2948369347882815,4.265540938575569,4.713109545897125,4.643441268728559,5.164872301579203,5.511040600959987,5.429188782896098,4.621994462034176,0.016160664305906788,1.7915407909339667,0.0468975073001264
FBtr0080003,CG5056,5.949558464161697,5.457033671100851,5.421472054293001,4.6826554859271905,2.936565390227844,3.9044023027219845,4.527981618660996,4.27316912380417,5.733726464548724,5.766956929655202,5.692577452399392,4.378222986013589,2.370415404821477,3.403901659781978,4.126744940000578,4.384516050836117,4.458031426831449,5.892583881918482e-05,4.2296942265049475,0.000692398703614787
FBtr0332197,CG33303,5.220572499203689,4.730431334194719,4.532698593339253,3.7617059980625083,2.7818114424209877,2.712729149292894,4.249012012393817,4.497813715775189,5.2612795252270645,5.154343045015598,4.388378645959382,4.043638736360011,2.391119076142322,2.9771930843849375,4.188447373065061,4.462454436903592,4.320377555017061,0.0010963297676741463,2.9600587937167533,0.0059569243145688126
FBtr0080052,CG33303,5.841133415230887,5.350443604705089,5.396642213709405,4.651195695102695,3.396362970366317,3.8430664967258954,4.868269145009648,5.117492419541122,5.881878267222877,5.774840365868731,5.007880753361972,4.662488427026735,3.003372142651974,3.592679240042372,5.070614216214522,5.151739588183483,5.03958844192363,0.0016890223611700987,2.7723646007140728,0.00826095945301423
FBtr0080051,Cdk1,7.636770811067168,5.992625264275435,7.6347052268778235,8.031025509040383,8.17486516791221,7.855658533142548,8.398304626924853,8.087694582048098,7.321013767738227,6.514787624779057,7.713801250335601,8.207481311615254,8.401361548791536,7.5542507149371225,7.957119545381849,8.401307639739505,7.907280791845417,0.0033211403726684354,2.478712767946647,0.013818831898450838
